year,month,Site.ID,AQS_PARAMETER_DESC,CBSA_NAME,Site.Name,SITE_LATITUDE,SITE_LONGITUDE,Daily.Max.1.hour.NO2.Concentration,treat,post
2021,3,40134021,Nitrogen dioxide (NO2),"Phoenix-Mesa-Scottsdale, AZ",Eastwood,33.41046,-112.00264,32.65384615,1,0
2021,4,40134021,Nitrogen dioxide (NO2),"Phoenix-Mesa-Scottsdale, AZ",Eastwood,33.41046,-112.00264,33.2,1,0
2021,5,40134021,Nitrogen dioxide (NO2),"Phoenix-Mesa-Scottsdale, AZ",Eastwood,33.41046,-112.00264,31.47058824,1,0
2021,6,40134021,Nitrogen dioxide (NO2),"Phoenix-Mesa-Scottsdale, AZ",Eastwood,33.41046,-112.00264,36.16666667,1,0
2021,7,40134021,Nitrogen dioxide (NO2),"Phoenix-Mesa-Scottsdale, AZ",Eastwood,33.41046,-112.00264,26.41935484,1,0
2021,8,40134021,Nitrogen dioxide (NO2),"Phoenix-Mesa-Scottsdale, AZ",Eastwood,33.41046,-112.00264,26.58064516,1,0
2021,9,40134021,Nitrogen dioxide (NO2),"Phoenix-Mesa-Scottsdale, AZ",Eastwood,33.41046,-112.00264,32.06666667,1,0
2021,10,40134021,Nitrogen dioxide (NO2),"Phoenix-Mesa-Scottsdale, AZ",Eastwood,33.41046,-112.00264,35.83870968,1,0
2021,11,40134021,Nitrogen dioxide (NO2),"Phoenix-Mesa-Scottsdale, AZ",Eastwood,33.41046,-112.00264,42.3,1,0
2021,12,40134021,Nitrogen dioxide (NO2),"Phoenix-Mesa-Scottsdale, AZ",Eastwood,33.41046,-112.00264,34.80645161,1,0
2022,1,40134021,Nitrogen dioxide (NO2),"Phoenix-Mesa-Scottsdale, AZ",Eastwood,33.41046,-112.00264,36.22580645,1,0
2022,2,40134021,Nitrogen dioxide (NO2),"Phoenix-Mesa-Scottsdale, AZ",Eastwood,33.41046,-112.00264,35.92857143,1,0
2022,3,40134021,Nitrogen dioxide (NO2),"Phoenix-Mesa-Scottsdale, AZ",Eastwood,33.41046,-112.00264,38.93548387,1,0
2022,4,40134021,Nitrogen dioxide (NO2),"Phoenix-Mesa-Scottsdale, AZ",Eastwood,33.41046,-112.00264,32.2,1,0
2022,5,40134021,Nitrogen dioxide (NO2),"Phoenix-Mesa-Scottsdale, AZ",Eastwood,33.41046,-112.00264,31.25,1,1
2022,6,40134021,Nitrogen dioxide (NO2),"Phoenix-Mesa-Scottsdale, AZ",Eastwood,33.41046,-112.00264,26.9,1,1
2022,7,40134021,Nitrogen dioxide (NO2),"Phoenix-Mesa-Scottsdale, AZ",Eastwood,33.41046,-112.00264,22.16129032,1,1
2022,8,40134021,Nitrogen dioxide (NO2),"Phoenix-Mesa-Scottsdale, AZ",Eastwood,33.41046,-112.00264,23,1,1
2022,9,40134021,Nitrogen dioxide (NO2),"Phoenix-Mesa-Scottsdale, AZ",Eastwood,33.41046,-112.00264,25.76666667,1,1
2022,10,40134021,Nitrogen dioxide (NO2),"Phoenix-Mesa-Scottsdale, AZ",Eastwood,33.41046,-112.00264,30.89655172,1,1
2022,11,40134021,Nitrogen dioxide (NO2),"Phoenix-Mesa-Scottsdale, AZ",Eastwood,33.41046,-112.00264,33.1,1,1
2022,12,40134021,Nitrogen dioxide (NO2),"Phoenix-Mesa-Scottsdale, AZ",Eastwood,33.41046,-112.00264,33.58064516,1,1
2023,1,40134021,Nitrogen dioxide (NO2),"Phoenix-Mesa-Scottsdale, AZ",Eastwood,33.41046,-112.00264,30.64516129,1,1
2023,2,40134021,Nitrogen dioxide (NO2),"Phoenix-Mesa-Scottsdale, AZ",Eastwood,33.41046,-112.00264,27.32142857,1,1
2023,3,40134021,Nitrogen dioxide (NO2),"Phoenix-Mesa-Scottsdale, AZ",Eastwood,33.41046,-112.00264,28.03225806,1,1
2023,4,40134021,Nitrogen dioxide (NO2),"Phoenix-Mesa-Scottsdale, AZ",Eastwood,33.41046,-112.00264,33.2,1,1
2023,5,40134021,Nitrogen dioxide (NO2),"Phoenix-Mesa-Scottsdale, AZ",Eastwood,33.41046,-112.00264,26.83870968,1,1
2023,6,40134021,Nitrogen dioxide (NO2),"Phoenix-Mesa-Scottsdale, AZ",Eastwood,33.41046,-112.00264,29.44444444,1,1
2021,1,40191011,Nitrogen dioxide (NO2),"Tucson, AZ",22ND & CRAYCROFT,32.2044107,-110.878067,26.91935484,0,0
2021,1,40191028,Nitrogen dioxide (NO2),"Tucson, AZ",CHILDREN'S PARK NCore,32.29515,-110.9823,23.57419355,0,0
2021,2,40191011,Nitrogen dioxide (NO2),"Tucson, AZ",22ND & CRAYCROFT,32.2044107,-110.878067,28.15357143,0,0
2021,2,40191028,Nitrogen dioxide (NO2),"Tucson, AZ",CHILDREN'S PARK NCore,32.29515,-110.9823,25.00714286,0,0
2021,3,40191011,Nitrogen dioxide (NO2),"Tucson, AZ",22ND & CRAYCROFT,32.2044107,-110.878067,24.02580645,0,0
2021,3,40191028,Nitrogen dioxide (NO2),"Tucson, AZ",CHILDREN'S PARK NCore,32.29515,-110.9823,19.24516129,0,0
2021,4,40191011,Nitrogen dioxide (NO2),"Tucson, AZ",22ND & CRAYCROFT,32.2044107,-110.878067,19.06551724,0,0
2021,4,40191028,Nitrogen dioxide (NO2),"Tucson, AZ",CHILDREN'S PARK NCore,32.29515,-110.9823,14.5826087,0,0
2021,5,40191011,Nitrogen dioxide (NO2),"Tucson, AZ",22ND & CRAYCROFT,32.2044107,-110.878067,14.89354839,0,0
2021,5,40191028,Nitrogen dioxide (NO2),"Tucson, AZ",CHILDREN'S PARK NCore,32.29515,-110.9823,12.29032258,0,0
2021,6,40191011,Nitrogen dioxide (NO2),"Tucson, AZ",22ND & CRAYCROFT,32.2044107,-110.878067,13.79,0,0
2021,6,40191028,Nitrogen dioxide (NO2),"Tucson, AZ",CHILDREN'S PARK NCore,32.29515,-110.9823,11.61333333,0,0
2021,7,40191011,Nitrogen dioxide (NO2),"Tucson, AZ",22ND & CRAYCROFT,32.2044107,-110.878067,12.08709677,0,0
2021,7,40191028,Nitrogen dioxide (NO2),"Tucson, AZ",CHILDREN'S PARK NCore,32.29515,-110.9823,8.961290323,0,0
2021,8,40191011,Nitrogen dioxide (NO2),"Tucson, AZ",22ND & CRAYCROFT,32.2044107,-110.878067,11.82258065,0,0
2021,8,40191028,Nitrogen dioxide (NO2),"Tucson, AZ",CHILDREN'S PARK NCore,32.29515,-110.9823,9.206451613,0,0
2021,9,40191011,Nitrogen dioxide (NO2),"Tucson, AZ",22ND & CRAYCROFT,32.2044107,-110.878067,16.42,0,0
2021,9,40191028,Nitrogen dioxide (NO2),"Tucson, AZ",CHILDREN'S PARK NCore,32.29515,-110.9823,10.83333333,0,0
2021,10,40191011,Nitrogen dioxide (NO2),"Tucson, AZ",22ND & CRAYCROFT,32.2044107,-110.878067,20.26774194,0,0
2021,10,40191028,Nitrogen dioxide (NO2),"Tucson, AZ",CHILDREN'S PARK NCore,32.29515,-110.9823,15.93548387,0,0
2021,11,40191011,Nitrogen dioxide (NO2),"Tucson, AZ",22ND & CRAYCROFT,32.2044107,-110.878067,26.17666667,0,0
2021,11,40191028,Nitrogen dioxide (NO2),"Tucson, AZ",CHILDREN'S PARK NCore,32.29515,-110.9823,22.25,0,0
2021,12,40191011,Nitrogen dioxide (NO2),"Tucson, AZ",22ND & CRAYCROFT,32.2044107,-110.878067,25.90967742,0,0
2021,12,40191028,Nitrogen dioxide (NO2),"Tucson, AZ",CHILDREN'S PARK NCore,32.29515,-110.9823,21.36451613,0,0
2022,1,40191011,Nitrogen dioxide (NO2),"Tucson, AZ",22ND & CRAYCROFT,32.2044107,-110.878067,29.05806452,0,0
2022,1,40191028,Nitrogen dioxide (NO2),"Tucson, AZ",CHILDREN'S PARK NCore,32.29515,-110.9823,25.51290323,0,0
2022,2,40191011,Nitrogen dioxide (NO2),"Tucson, AZ",22ND & CRAYCROFT,32.2044107,-110.878067,27.70714286,0,0
2022,2,40191028,Nitrogen dioxide (NO2),"Tucson, AZ",CHILDREN'S PARK NCore,32.29515,-110.9823,24.06071429,0,0
2022,3,40191011,Nitrogen dioxide (NO2),"Tucson, AZ",22ND & CRAYCROFT,32.2044107,-110.878067,24.48064516,0,0
2022,3,40191028,Nitrogen dioxide (NO2),"Tucson, AZ",CHILDREN'S PARK NCore,32.29515,-110.9823,17.53103448,0,0
2022,4,40191011,Nitrogen dioxide (NO2),"Tucson, AZ",22ND & CRAYCROFT,32.2044107,-110.878067,21.07666667,0,0
2022,4,40191028,Nitrogen dioxide (NO2),"Tucson, AZ",CHILDREN'S PARK NCore,32.29515,-110.9823,15.07666667,0,0
2022,5,40191011,Nitrogen dioxide (NO2),"Tucson, AZ",22ND & CRAYCROFT,32.2044107,-110.878067,14.69354839,0,1
2022,5,40191028,Nitrogen dioxide (NO2),"Tucson, AZ",CHILDREN'S PARK NCore,32.29515,-110.9823,9.495652174,0,1
2022,6,40191011,Nitrogen dioxide (NO2),"Tucson, AZ",22ND & CRAYCROFT,32.2044107,-110.878067,11.6,0,1
2022,6,40191028,Nitrogen dioxide (NO2),"Tucson, AZ",CHILDREN'S PARK NCore,32.29515,-110.9823,12.668,0,1
2022,7,40191011,Nitrogen dioxide (NO2),"Tucson, AZ",22ND & CRAYCROFT,32.2044107,-110.878067,10.812,0,1
2022,7,40191028,Nitrogen dioxide (NO2),"Tucson, AZ",CHILDREN'S PARK NCore,32.29515,-110.9823,10.73461538,0,1
2022,7,40191036,Nitrogen dioxide (NO2),"Tucson, AZ",Ted Walker Park,32.194671,-111.033167,23.13548387,0,1
2022,8,40191011,Nitrogen dioxide (NO2),"Tucson, AZ",22ND & CRAYCROFT,32.2044107,-110.878067,8.95483871,0,1
2022,8,40191028,Nitrogen dioxide (NO2),"Tucson, AZ",CHILDREN'S PARK NCore,32.29515,-110.9823,9.880645161,0,1
2022,8,40191036,Nitrogen dioxide (NO2),"Tucson, AZ",Ted Walker Park,32.194671,-111.033167,20.76129032,0,1
2022,9,40191011,Nitrogen dioxide (NO2),"Tucson, AZ",22ND & CRAYCROFT,32.2044107,-110.878067,10.25666667,0,1
2022,9,40191028,Nitrogen dioxide (NO2),"Tucson, AZ",CHILDREN'S PARK NCore,32.29515,-110.9823,11.42666667,0,1
2022,9,40191036,Nitrogen dioxide (NO2),"Tucson, AZ",Ted Walker Park,32.194671,-111.033167,20.43,0,1
2022,10,40191011,Nitrogen dioxide (NO2),"Tucson, AZ",22ND & CRAYCROFT,32.2044107,-110.878067,14.89677419,0,1
2022,10,40191028,Nitrogen dioxide (NO2),"Tucson, AZ",CHILDREN'S PARK NCore,32.29515,-110.9823,14.81290323,0,1
2022,10,40191036,Nitrogen dioxide (NO2),"Tucson, AZ",Ted Walker Park,32.194671,-111.033167,25.53225806,0,1
2022,11,40191011,Nitrogen dioxide (NO2),"Tucson, AZ",22ND & CRAYCROFT,32.2044107,-110.878067,24.92666667,0,1
2022,11,40191028,Nitrogen dioxide (NO2),"Tucson, AZ",CHILDREN'S PARK NCore,32.29515,-110.9823,23.19666667,0,1
2022,11,40191036,Nitrogen dioxide (NO2),"Tucson, AZ",Ted Walker Park,32.194671,-111.033167,30.14666667,0,1
2022,12,40191011,Nitrogen dioxide (NO2),"Tucson, AZ",22ND & CRAYCROFT,32.2044107,-110.878067,26.23225806,0,1
2022,12,40191028,Nitrogen dioxide (NO2),"Tucson, AZ",CHILDREN'S PARK NCore,32.29515,-110.9823,21.95,0,1
2022,12,40191036,Nitrogen dioxide (NO2),"Tucson, AZ",Ted Walker Park,32.194671,-111.033167,27.82258065,0,1
2023,1,40191011,Nitrogen dioxide (NO2),"Tucson, AZ",22ND & CRAYCROFT,32.2044107,-110.878067,27.10967742,0,1
2023,1,40191028,Nitrogen dioxide (NO2),"Tucson, AZ",CHILDREN'S PARK NCore,32.29515,-110.9823,22.23225806,0,1
2023,1,40191036,Nitrogen dioxide (NO2),"Tucson, AZ",Ted Walker Park,32.194671,-111.033167,28.65806452,0,1
2023,2,40191011,Nitrogen dioxide (NO2),"Tucson, AZ",22ND & CRAYCROFT,32.2044107,-110.878067,24.57142857,0,1
2023,2,40191028,Nitrogen dioxide (NO2),"Tucson, AZ",CHILDREN'S PARK NCore,32.29515,-110.9823,20.88928571,0,1
2023,2,40191036,Nitrogen dioxide (NO2),"Tucson, AZ",Ted Walker Park,32.194671,-111.033167,28.25357143,0,1
2023,3,40191011,Nitrogen dioxide (NO2),"Tucson, AZ",22ND & CRAYCROFT,32.2044107,-110.878067,21.23225806,0,1
2023,3,40191028,Nitrogen dioxide (NO2),"Tucson, AZ",CHILDREN'S PARK NCore,32.29515,-110.9823,17.34193548,0,1
2023,3,40191036,Nitrogen dioxide (NO2),"Tucson, AZ",Ted Walker Park,32.194671,-111.033167,28.36451613,0,1
2023,4,40191011,Nitrogen dioxide (NO2),"Tucson, AZ",22ND & CRAYCROFT,32.2044107,-110.878067,19.58333333,0,1
2023,4,40191028,Nitrogen dioxide (NO2),"Tucson, AZ",CHILDREN'S PARK NCore,32.29515,-110.9823,14.5826087,0,1
2023,4,40191036,Nitrogen dioxide (NO2),"Tucson, AZ",Ted Walker Park,32.194671,-111.033167,32.24,0,1
2023,5,40191011,Nitrogen dioxide (NO2),"Tucson, AZ",22ND & CRAYCROFT,32.2044107,-110.878067,12.70322581,0,1
2023,5,40191028,Nitrogen dioxide (NO2),"Tucson, AZ",CHILDREN'S PARK NCore,32.29515,-110.9823,10.91034483,0,1
2023,5,40191036,Nitrogen dioxide (NO2),"Tucson, AZ",Ted Walker Park,32.194671,-111.033167,27.21290323,0,1
2023,6,40191011,Nitrogen dioxide (NO2),"Tucson, AZ",22ND & CRAYCROFT,32.2044107,-110.878067,14.32666667,0,1
2023,6,40191028,Nitrogen dioxide (NO2),"Tucson, AZ",CHILDREN'S PARK NCore,32.29515,-110.9823,12.80666667,0,1
2023,6,40191036,Nitrogen dioxide (NO2),"Tucson, AZ",Ted Walker Park,32.194671,-111.033167,26.332,0,1
